ID,Video Initial Max DL Rate(kbps),E2E RTT(ms),Average Rate of Playing phase (kbps),Initial Buffering Latency(ms),Stalling Ratio,VMOS,Video Total DL Rate(kbps),Stalling Length,Playing Length,Total time of Playing phase (kbps),Stalling times,video bitrate,Video Initial buffer download,SQuality,SLoading,Sstalling
3008690,22445,73,5403,1455,0.0,3.85,5617,0,30005,30005,0,2903,1545477,4.33,3.8,5.0
3008696,53893,29,5819,665,0.0,4.09,6115,0,30012,30012,0,2903,1529230,4.33,4.37,5.0
3008701,48823,53,5966,1027,0.0,3.98,6152,0,30005,30005,0,2903,1660492,4.33,4.1,5.0
3008720,45261,59,6181,990,0.0,4.0,6392,0,30042,30042,0,2966,1634382,4.34,4.13,5.0
3008730,69809,41,5724,820,0.0,4.05,6058,0,30022,30022,0,2903,1587692,4.33,4.25,5.0
3008746,41246,56,6081,1095,0.0,3.96,6095,0,30003,30003,0,2903,1589092,4.33,4.05,5.0
3008754,34039,66,5922,1254,0.0,3.92,6084,0,30007,30007,0,2934,1568092,4.33,3.94,5.0
3008755,11343,69,5632,2229,0.0,3.63,5696,0,30008,30008,0,2966,1570737,4.34,3.33,5.0
3008760,76800,53,5841,936,0.0,4.01,6045,0,30004,30004,0,2934,1701092,4.33,4.16,5.0
3008764,101861,25,5749,581,0.0,4.12,6164,0,30007,30007,0,2903,1866892,4.33,4.43,5.0
3008766,37013,29,6000,736,0.0,4.07,6104,0,30007,30007,0,2903,1546342,4.33,4.31,5.0
3008787,68362,50,5889,849,0.0,4.04,6377,0,30003,30003,0,2903,1569492,4.33,4.23,5.0
3008793,48960,48,5877,930,0.0,4.02,6071,0,30004,30004,0,2966,1582092,4.34,4.17,5.0
3008810,33490,42,6075,1082,0.0,3.97,6049,0,30005,30005,0,2966,1593822,4.34,4.06,5.0
3008814,56861,51,6683,1620,0.0,3.81,6710,0,30002,30002,0,2934,1604492,4.33,3.7,5.0
3008823,15052,101,6267,2444,0.0,3.56,6191,0,30004,30004,0,2934,1546837,4.33,3.21,5.0
3008827,32092,73,5902,1276,0.0,3.91,6071,0,30002,30002,0,2934,1539334,4.33,3.92,5.0
3008852,18341,66,5476,1718,0.0,3.78,5613,0,30007,30007,0,2966,1566592,4.34,3.63,5.0
3008911,26454,43,5969,1147,0.0,3.95,6115,0,30002,30002,0,2903,1537992,4.33,4.01,5.0
3008915,88256,29,5607,572,0.0,4.13,6022,0,30023,30023,0,2966,1674668,4.34,4.44,5.0
3008916,63547,58,6057,1007,0.0,3.99,6263,0,30002,30002,0,2903,1602796,4.33,4.11,5.0
3008923,27200,62,5940,1401,0.0,3.88,6048,0,30007,30007,0,2966,1569492,4.34,3.84,5.0
3008936,19372,77,5717,1638,0.0,3.8,5701,0,30003,30003,0,2934,1553696,4.33,3.68,5.0
3008945,16189,46,6175,1767,0.0,3.76,6144,0,30004,30004,0,2903,1530192,4.33,3.6,5.0
3008946,26234,49,5897,1276,0.0,3.91,6032,0,30002,30002,0,2966,1586292,4.34,3.92,5.0
3008953,57292,53,6367,1118,0.0,3.96,6332,0,30003,30003,0,2934,1642332,4.33,4.03,5.0
3008957,73920,28,5996,587,0.0,4.12,6127,0,30005,30005,0,2934,1618004,4.33,4.43,5.0
3008989,47312,53,6242,995,0.0,4.0,6213,0,30003,30003,0,2966,1596524,4.34,4.12,5.0
3008994,69440,63,6312,997,0.0,3.99,6541,0,30008,30008,0,2903,1653492,4.33,4.12,5.0
3008995,14929,45,5997,1938,0.0,3.71,6020,0,30004,30004,0,2966,1566592,4.34,3.5,5.0
3009022,62071,53,9548,967,0.022,3.81,9517,639,29365,30004,1,2934,1667492,4.33,4.14,4.56
3009025,75295,52,6124,916,0.0,4.02,6145,0,30005,30005,0,2934,1660532,4.33,4.18,5.0
3009029,93813,108,6254,1304,0.0,3.9,6553,0,30003,30003,0,2903,1653492,4.33,3.91,5.0
3009031,15132,47,6206,1732,0.0,3.78,6176,0,30006,30006,0,2966,1600392,4.34,3.63,5.0
3009032,26551,48,5916,1084,0.0,3.97,5963,0,30004,30004,0,2903,1545356,4.33,4.06,5.0
3009036,15448,87,5697,1877,0.0,3.73,5695,0,30008,30008,0,2934,1555485,4.33,3.54,5.0
3009046,16625,103,6135,2281,0.0,3.61,6063,0,30006,30006,0,2934,1548982,4.33,3.3,5.0
3009059,29970,30,6012,1006,0.0,3.99,6056,0,30002,30002,0,2934,1645892,4.33,4.11,5.0
3009080,37003,84,5348,1557,0.0,3.82,5326,0,30004,30004,0,2903,1546221,4.33,3.74,5.0
3009090,91263,27,6209,567,0.0,4.12,6253,0,30004,30004,0,2903,1551287,4.33,4.44,5.0
3009094,37046,54,5825,1033,0.0,3.98,6086,0,30003,30003,0,2934,1566614,4.33,4.09,5.0
3009095,15945,47,6228,1689,0.0,3.79,6186,0,30003,30003,0,2966,1569192,4.34,3.65,5.0
3009096,78500,26,5864,614,0.0,4.11,6143,0,30004,30004,0,2966,1573092,4.34,4.41,5.0
3009105,20125,48,5929,1367,0.0,3.89,6037,0,30003,30003,0,2966,1570892,4.34,3.86,5.0
3009118,113816,35,6575,602,0.0,4.11,6812,0,30028,30028,0,2903,1939132,4.33,4.42,5.0
3009126,73398,41,6134,800,0.0,4.06,6112,0,30003,30003,0,2966,1625492,4.34,4.27,5.0
3009127,18585,57,6229,1604,0.0,3.81,6195,0,30002,30002,0,2966,1597792,4.34,3.71,5.0
3009140,39703,93,6174,1378,0.0,3.88,6146,0,30008,30008,0,2966,1566356,4.34,3.86,5.0
3009147,31843,81,8253,1595,0.0,3.82,8366,0,30006,30006,0,2966,1566178,4.34,3.71,5.0
3009151,97461,28,6119,569,0.0,4.12,6199,0,30005,30005,0,2903,1698292,4.33,4.44,5.0
3009160,68567,53,5942,1035,0.0,3.98,6149,0,30006,30006,0,2934,1652496,4.33,4.09,5.0
3009170,54912,92,3719,1604,0.0,3.81,3684,0,30013,30013,0,2966,1579822,4.34,3.71,5.0
