ID,Video Initial Max DL Rate(kbps),E2E RTT(ms),Average Rate of Playing phase (kbps),Initial Buffering Latency(ms),Stalling Ratio,VMOS,Video Total DL Rate(kbps),Stalling Length,Playing Length,Total time of Playing phase (kbps),Stalling times,video bitrate,Video Initial buffer download,SQuality,SLoading,Sstalling
3489890,45024,22,5939,707,0.0,4.09,6109,0,30003,30003,0,2966,1614292,4.34,4.34,5.0
3489906,29451,46,6118,1100,0.0,3.97,6094,0,30008,30008,0,2966,1568092,4.34,4.05,5.0
3489910,41850,30,6206,783,0.0,4.06,6333,0,30020,30020,0,2966,1605692,4.34,4.28,5.0
3489936,58503,32,6290,802,0.0,4.05,6422,0,30004,30004,0,2934,1622972,4.33,4.26,5.0
3489943,62569,53,5476,911,0.0,4.02,5992,0,30006,30006,0,2934,1551292,4.33,4.18,5.0
3489947,33824,42,5830,1033,0.0,3.98,6066,0,30003,30003,0,2934,1579292,4.33,4.09,5.0
3489952,36534,44,6246,971,0.0,4.01,6325,0,30006,30006,0,2966,1566812,4.34,4.14,5.0
3489962,64452,56,5639,951,0.0,4.01,5993,0,30005,30005,0,2966,1570892,4.34,4.15,5.0
3489964,45520,33,6063,766,0.0,4.06,6384,0,30019,30019,0,2903,1591292,4.33,4.29,5.0
3489968,35581,37,5406,861,0.0,4.03,5634,0,30006,30006,0,2903,1547592,4.33,4.22,5.0
3489972,21631,50,5755,1463,0.0,3.85,5942,0,30002,30002,0,2934,1582431,4.33,3.8,5.0
3489973,44873,32,6133,773,0.0,4.06,6377,0,30016,30016,0,2903,1527932,4.33,4.29,5.0
3489977,24128,37,5484,1029,0.0,3.98,5576,0,30009,30009,0,2903,1576992,4.33,4.1,5.0
3489978,30415,43,6140,1203,0.0,3.93,6136,0,30003,30003,0,2934,1547092,4.33,3.97,5.0
3490006,51897,40,5580,861,0.0,4.03,5816,0,30013,30013,0,2903,1552292,4.33,4.22,5.0
3490033,58796,37,5588,893,0.0,4.03,5752,0,30006,30006,0,2966,1590037,4.34,4.2,5.0
3490046,31403,31,5844,1012,0.0,3.99,5852,0,30007,30007,0,2903,1580892,4.33,4.11,5.0
3490051,42453,23,5920,715,0.0,4.08,6110,0,30004,30004,0,2966,1625492,4.34,4.33,5.0
3490071,57256,24,5870,705,0.0,4.08,6076,0,30004,30004,0,2903,1715092,4.33,4.34,5.0
3490082,30468,37,5492,901,0.0,4.03,5613,0,30013,30013,0,2966,1606892,4.34,4.19,5.0
3490087,45968,30,6145,715,0.0,4.08,6355,0,30017,30017,0,2966,1569692,4.34,4.33,5.0
3490096,52762,32,6076,703,0.0,4.08,6409,0,30007,30007,0,2934,1542930,4.33,4.34,5.0
3490097,48498,23,5870,820,0.0,4.05,6062,0,30004,30004,0,2903,1600292,4.33,4.25,5.0
3490102,68022,25,5901,628,0.0,4.1,6091,0,30004,30004,0,2903,1607292,4.33,4.4,5.0
3490121,37378,40,5342,955,0.0,4.0,5580,0,30007,30007,0,2903,1588692,4.33,4.15,5.0
3490130,28118,36,5414,1020,0.0,3.99,5570,0,30010,30010,0,2966,1569192,4.34,4.1,5.0
3490134,61621,32,6024,686,0.0,4.09,6386,0,30012,30012,0,2903,1604252,4.33,4.35,5.0
3490139,35642,36,5407,955,0.0,4.0,5650,0,30012,30012,0,2903,1539292,4.33,4.15,5.0
3490170,28808,37,5206,997,0.0,4.0,5473,0,30019,30019,0,2966,1579592,4.34,4.12,5.0
3490180,54406,66,6094,1144,0.0,3.95,6369,0,30003,30003,0,2934,1619838,4.33,4.02,5.0
3490184,39096,51,6161,1057,0.0,3.97,6351,0,30006,30006,0,2903,1565118,4.33,4.08,5.0
3490208,22140,37,5521,1205,0.0,3.93,5673,0,30018,30018,0,2903,1548392,4.33,3.97,5.0
3490213,22509,23,6038,894,0.0,4.03,6072,0,30003,30003,0,2966,1576492,4.34,4.2,5.0
3490217,66659,74,6212,1103,0.0,3.96,6561,0,30003,30003,0,2903,1539452,4.33,4.04,5.0
3490223,15539,36,5472,1426,0.0,3.87,5493,0,30041,30041,0,2966,1582192,4.34,3.82,5.0
3490231,53104,32,5977,721,0.0,4.08,6372,0,30011,30011,0,2903,1545272,4.33,4.32,5.0
3490241,62273,76,5960,1028,0.0,3.99,6449,0,30006,30006,0,2966,1614052,4.34,4.1,5.0
3490242,44034,70,6228,1538,0.0,3.83,6327,0,30006,30006,0,2934,1547838,4.33,3.75,5.0
3490250,42054,20,6149,727,0.0,4.08,6158,0,30003,30003,0,2966,1629692,4.34,4.32,5.0
3490254,26437,61,6259,1625,0.0,3.8,6301,0,30007,30007,0,2903,1585278,4.33,3.69,5.0
3490256,26000,35,5489,959,0.0,4.0,5755,0,30032,30032,0,2903,1558792,4.33,4.15,5.0
3490266,36705,70,6160,1240,0.0,3.92,6357,0,30005,30005,0,2903,1549532,4.33,3.95,5.0
3490269,36800,30,6193,838,0.0,4.05,6334,0,30008,30008,0,2966,1598492,4.34,4.24,5.0
3490278,25750,74,6228,1740,0.0,3.77,6310,0,30003,30003,0,2934,1553598,4.33,3.62,5.0
3490287,57207,23,6016,655,0.0,4.1,6099,0,30004,30004,0,2903,1615692,4.33,4.37,5.0
3490291,33268,62,6338,1447,0.0,3.86,6319,0,30004,30004,0,2966,1575196,4.34,3.81,5.0
3490292,60060,84,6074,1163,0.0,3.94,6388,0,30014,30014,0,2934,1594172,4.33,4.0,5.0
3490297,26931,30,6341,941,0.0,4.01,6410,0,30022,30022,0,2966,1581212,4.34,4.16,5.0
3490304,29440,65,6379,1384,0.0,3.88,6404,0,30009,30009,0,2934,1543772,4.33,3.85,5.0
3490311,51995,32,6061,735,0.0,4.07,6413,0,30006,30006,0,2934,1598088,4.33,4.31,5.0
3490312,10968,35,5535,2228,0.0,3.63,5511,0,30007,30007,0,2966,1576232,4.34,3.33,5.0
3490328,48072,39,5911,798,0.0,4.05,6089,0,30005,30005,0,2903,1554381,4.33,4.27,5.0
3490331,23867,40,5607,1087,0.0,3.97,5753,0,30016,30016,0,2934,1548392,4.33,4.06,5.0
3490333,81599,57,6584,979,0.0,4.0,7162,0,30007,30007,0,2903,1556717,4.33,4.13,5.0
3490341,17597,44,5478,1371,0.0,3.88,5521,0,30004,30004,0,2966,1578292,4.34,3.86,5.0
3490343,30904,29,6329,984,0.0,4.0,6367,0,30008,30008,0,2966,1624412,4.34,4.13,5.0
3490346,78756,57,7005,958,0.0,4.0,7418,0,30004,30004,0,2903,1561524,4.33,4.15,5.0
3490354,47177,32,6215,860,0.0,4.03,6383,0,30005,30005,0,2903,1628732,4.33,4.22,5.0
3490357,44801,39,5963,952,0.0,4.01,6127,0,30003,30003,0,2966,1646006,4.34,4.15,5.0
3490362,74166,56,6151,976,0.0,4.0,6464,0,30015,30015,0,2903,1622612,4.33,4.14,5.0
3490363,28112,21,5841,936,0.0,4.02,6012,0,30003,30003,0,2966,1577932,4.34,4.16,5.0
3490369,71003,33,5831,696,0.0,4.09,6227,0,30003,30003,0,2934,1619941,4.33,4.34,5.0
3490370,44324,63,6081,1173,0.0,3.94,6341,0,30003,30003,0,2903,1572358,4.33,4.0,5.0
3490400,20456,52,6280,1514,0.0,3.84,6353,0,30003,30003,0,2934,1545212,4.33,3.77,5.0
3490418,29475,52,6366,1267,0.0,3.91,6493,0,30004,30004,0,2934,1588412,4.33,3.93,5.0
3490432,37871,74,7072,1691,0.0,3.79,7148,0,30003,30003,0,2934,1615144,4.33,3.65,5.0
3490433,65600,56,6322,993,0.0,4.0,6589,0,30003,30003,0,2966,1588536,4.34,4.12,5.0
3490436,24533,60,6164,1701,0.0,3.79,6215,0,30004,30004,0,2966,1596796,4.34,3.64,5.0
3490442,83184,31,5951,669,0.0,4.09,6155,0,30002,30002,0,2903,1624092,4.33,4.36,5.0
3490445,19626,67,6540,2095,0.0,3.66,6455,0,30007,30007,0,2903,1574012,4.33,3.4,5.0
3490461,48198,32,6142,796,0.0,4.05,6378,0,30008,30008,0,2903,1591292,4.33,4.27,5.0
3490481,11727,116,6211,4054,0.0,3.09,5945,0,30007,30007,0,2966,1595315,4.34,2.44,5.0
3490498,34116,35,6133,847,0.0,4.04,6381,0,30005,30005,0,2903,1550972,4.33,4.23,5.0
3490525,70685,67,5871,926,0.0,4.01,6432,0,30013,30013,0,2903,1613812,4.33,4.17,5.0
3490563,35109,22,6075,743,0.0,4.07,6108,0,30005,30005,0,2966,1572292,4.34,4.31,5.0
3490579,46703,26,5858,682,0.0,4.09,6092,0,30011,30011,0,2903,1549892,4.33,4.35,5.0
3490656,50773,27,5929,690,0.0,4.09,6120,0,30005,30005,0,2966,1610092,4.34,4.35,5.0
3490676,27169,60,6536,1973,0.0,3.7,6465,0,30006,30006,0,2966,1580956,4.34,3.48,5.0
3490682,16819,30,6026,1287,0.0,3.91,6016,0,30007,30007,0,2966,1581592,4.34,3.92,5.0
